Date,Qwinj 0866-A1b,Qwinj 0866-A1c,Qwinj 0866-A1f,Qwinj 0866-A2,Qwinj 0866-A2i,Qwinj 0867-B2b,Qwinj 0867-B2c,Qwinj 0867-B2e,Qwinj 0867-B3,Qwinj 1318-A1f,Qwinj 1318-A2,Qwinj 1318-A2i,Qwinj 1318-A3,Qwinj 1318-B1,Qwinj 1318-B1i,Qwinj 1318-B2,Qwinj 1318-B2b,Qwinj 1318-B2c,Qwinj 1318-B2d,Qwinj 1318-B2e,Qwinj 1319-A1,Qwinj 1319-A1a,Qwinj 1319-A1b,Qwinj 1319-A1c,Qwinj 1319-A1d,Qwinj 1319-A1f,Qwinj 1319-A2,Qwinj 1319-A2i,Qwinj 1319-B2,Qwinj 1319-B2c,Qwinj 0839-A1,Qwinj 0839-A1a,Qwinj 0839-A1b,Qwinj 0839-A1c,Qwinj 0839-A1d,Qwinj 0829-B1,Qwinj 0829-B1i,Qwinj 0829-B2,Qwinj 0843-A1,Qwinj 0843-A1a,Qwinj 0843-A1b,Qwinj 0843-A1c,Qwinj 0843-A1f,Qwinj 0843-A2,Qwinj 0844-A2i,Qwinj 0844-A3,Qwinj 0844-B1i,Qwinj 0844-B2,Qwinj 0844-B2b,Qwinj 0844-B2c,Qwinj 0844-B2d,Qwinj 0844-B2e,Qwinj 0451-B1,Qwinj 0451-B1i,Qwinj 0451-B2,Qwinj 1317-A2,Qwinj 1317-A2i,Qwinj 1317-A3,Qwinj 1317-B1,Qwinj 1317-B1i,Qwinj 1317-B2,Qwinj 1317-B2b,Qwinj 1317-B2c,Qwinj 1317-B2d,Qwinj 1317-B2e,Qwinj 1317-B3,Qwinj 1317-C,Qwinj 0853-A1b,Qwinj 0853-A1c,Qwinj 0853-A1f,Qwinj 0853-A2,Qwinj 0853-A2i,Qtotal 402
1/1/17,0,164.73,0,86.35,298.91,128.04,19.7,109.43,32.83,0,0,0,0,0,0,0,0,0,0,0,0,84.34,52.51,0,0,144.8,50.92,358.03,171.86,157.54,16.26,14.45,136.42,122.87,0,2.32,6.3,1.38,0,0,0,0,0,0,55,75,0,32.5,7.5,263.75,12.5,43.75,0,0,0,0,98.77,8.3,0,53.95,92.13,14.94,44.82,23.24,13.28,8.3,52.29,5.44,40.8,190.4,103.36,0,534.97
1/2/17,0,173.72,0,91.06,315.22,128.04,19.7,109.43,32.83,0,0,0,0,0,0,0,0,0,0,0,0,84.34,52.51,0,0,144.8,50.92,358.03,171.86,157.54,15.7,13.96,131.71,118.63,0,2.32,6.3,1.38,0,0,0,0,0,0,55,75,0,32.5,7.5,263.75,12.5,43.75,0,0,0,0,98.77,8.3,0,53.95,92.13,14.94,44.82,23.24,13.28,8.3,52.29,5.44,40.8,190.4,103.36,0,534.35
1/3/17,0,170.46,0,89.36,309.31,125.64,19.33,107.38,32.21,0,0,0,0,0,0,0,0,0,0,0,0,82.76,51.53,0,0,142.09,49.97,351.32,168.63,154.58,15.41,13.69,129.24,116.4,0,2.28,6.18,1.36,0,0,0,0,0,0,56.17,76.6,0,33.19,7.66,269.37,12.77,44.68,0,0,0,0,96.91,8.14,0,52.94,90.4,14.66,43.98,22.8,13.03,8.14,51.31,5.34,40.04,186.83,101.42,0,533.68
1/4/17,0,173.72,0,91.06,315.22,128.04,19.7,109.43,32.83,0,0,0,0,0,0,0,0,0,0,0,0,84.34,52.51,0,0,144.8,50.92,358.03,171.86,157.54,15.7,13.96,131.71,118.63,0,4.64,12.6,2.76,0,0,0,0,0,0,57.24,78.06,0,33.83,7.81,274.52,13.01,45.54,0,0,0,0,98.77,8.3,0,53.95,92.13,14.94,44.82,23.24,13.28,8.3,52.29,5.44,40.8,190.4,103.36,0,533.36
1/5/17,0,173.72,0,91.06,315.22,128.04,19.7,109.43,32.83,285.94,15.63,0,0,53.13,0,0,12.5,32.81,0,0,0,84.34,52.51,0,0,144.8,50.92,358.03,171.86,157.54,15.7,13.96,131.71,118.63,0,4.64,12.6,2.76,0,0,0,0,0,0,48.27,65.82,0,28.52,6.58,231.45,10.97,38.39,0,0,0,0,98.77,8.3,0,53.95,92.13,14.94,44.82,23.24,13.28,8.3,52.29,5.44,40.8,190.4,103.36,0,534.38
1/6/17,0,138.21,0,123.4,318.38,140.92,0,105.18,43.91,285.94,15.63,0,0,53.13,0,0,12.5,32.81,0,0,0,81.86,50.97,0,0,140.55,49.42,347.5,166.8,152.9,15.7,13.96,131.71,118.63,0,4.64,12.6,2.76,0,0,0,0,0,0,48.27,65.82,0,28.52,6.58,231.45,10.97,38.39,0,0,0,0,98.77,8.3,0,53.95,92.13,14.94,44.82,23.24,13.28,8.3,52.29,5.44,40.8,190.4,103.36,0,536.13
1/7/17,0,138.21,0,123.4,318.38,140.92,0,105.18,43.91,285.94,15.63,0,0,53.13,0,0,12.5,32.81,0,0,0,81.86,52.51,0,0,140.55,49.42,358.03,171.86,157.54,15.7,13.96,131.71,118.63,0,4.64,12.6,2.76,0,0,0,0,0,0,48.27,65.82,0,28.52,6.58,231.45,10.97,38.39,0,0,0,0,0,8.02,8.02,122.3,103.25,0,77.19,10.02,21.05,2,58.14,5.44,40.8,190.4,103.36,0,459.22
1/8/17,0,138.21,0,123.4,318.38,140.92,0,105.18,43.91,285.94,15.63,0,0,53.13,0,0,12.5,32.81,0,0,0,81.86,52.51,0,0,140.55,49.42,358.03,171.86,157.54,15.7,13.96,131.71,118.63,0,4.64,12.6,2.76,0,0,0,0,0,0,48.27,65.82,0,28.52,6.58,231.45,10.97,38.39,0,0,0,0,0,8.02,8.02,122.3,103.25,0,77.19,10.02,21.05,2,58.14,5.28,39.6,184.8,100.32,0,481.3
1/9/17,0,138.21,0,123.4,318.38,140.92,0,105.18,43.91,285.94,15.63,0,0,53.13,0,0,12.5,32.81,0,0,0,81.86,52.51,0,0,140.55,49.42,358.03,171.86,157.54,15.7,13.96,131.71,118.63,0,4.64,12.6,2.76,0,0,0,0,0,0,48.27,65.82,0,28.52,6.58,231.45,10.97,38.39,0,0,0,0,0,8.02,8.02,122.3,103.25,0,77.19,10.02,21.05,2,58.14,5.28,39.6,184.8,100.32,0,533.89
1/10/17,0,138.21,0,123.4,318.38,140.92,0,105.18,43.91,285.94,15.63,0,0,53.13,0,0,12.5,32.81,0,0,0,24.8,15.44,0,0,42.59,14.98,105.3,50.55,46.33,15.7,13.96,131.71,118.63,0,4.64,12.6,2.76,0,0,0,0,0,0,48.27,65.82,0,28.52,6.58,231.45,10.97,38.39,0,0,0,0,0,7.82,7.82,119.32,100.73,0,75.31,9.78,20.54,1.96,56.72,5.12,38.4,179.2,97.28,0,607.12
